x	y	sd
594	1059.7	11.623
52.165	1123.8	16.697
871.9	1047.4	11.74
1750.1	1657.9	19.141
993.95	1029.6	4.251
992.92	1035.9	3.791
1007.9	1027	4.802
769.18	1012.6	10.994
197.05	1964.7	11.259
830.05	1033.3	6.721
868.1	1040	6.806
829.94	1051.4	6.669
802.3	1057.3	6.703
825.87	1039.6	7.129
610.78	1051.7	8.84
1953.6	1354	12.868
591.15	1084.9	7.607
606.87	1082.7	9.22
601.89	1068.7	9.03
578.89	1066.6	10.832
587.48	1076.9	9.236
564.85	1058.2	11.626
596.02	1079.8	9.199
591.55	1057.2	11.103
574.68	1083.6	10.3
569.44	1080.3	11.211
1847.8	1437.9	16.661
583.9	1054.1	12.384
596.88	1108.3	10.22
565.24	1088	11.878
1471.2	109.02	7.865
580.53	1091.8	10.092
1450.6	85.123	7.314
595.77	1085.1	11.025
1446.2	101.02	8.886
1505.7	1948.1	18.626
587.43	1090.5	11.735
1521.7	1937.8	21.65
1729.3	534.18	4.113
575.55	1102.8	10.835
1519.3	1912.5	21.455
1719.6	536.79	4.042
596.47	1067.4	9.171
1718.7	544.5	3.76
584.28	1100.1	12.069
953.45	1873.1	5.506
1711.4	543.58	3.945
589.04	1089.9	9.193
941.76	1867.2	4.067
1706.3	534.26	3.674
951.89	1872.3	3.942
1716.3	546.18	3.497
937.39	1867.6	3.983
1672.7	491.29	6.496
943.55	1869	4.003
1460.9	94.188	7.746
1450.3	84.658	8.178
1450.4	88.846	8.466
1447.3	75.41	7.203
1463.1	80.367	7.367
1437.9	109.27	6.604
1457.7	76.906	6.434
1444.5	97.178	7.795
1430.2	97.883	7.922
1518.3	1909.6	14.333
584.5	1065.6	12.721
1516.5	1949.8	15.527
584.96	1091.5	10.679
1476.3	1895.8	25.856
609.55	1066.6	11.45
1462	1896.8	17.712
604.03	1162.1	9.198
1484.3	1965	24.099
624.71	1403.3	6.517
629.37	1433.7	6.459
608.03	1336.4	6.989
923.76	1853.2	4.444
931.89	1861	4.181
925.99	1847	4.589
927.74	1861.7	4.51
840.69	1757.3	6.636
873.77	1804.5	5.367
931.78	1862.6	4.109
588.79	1116.8	13.644
937.33	1885.6	10.485
596.07	1082.4	11.339
593.51	1089.1	11.104
581.66	1069.4	13.946
620.93	1086.3	14.075
584.43	1060.8	11.544
1550.3	1904.2	17.326
596.38	1087.8	12.941
1544	1880.5	18.883
596.91	1086.2	10.092
1543.7	1933	16.419
584.49	1089.9	11.71
1547.6	1942.8	16.25
605.75	1088.8	10.803
1475.3	1862.4	6.002
610.11	1071.9	9.394
1478.8	1850.1	4.24
1972.9	700.28	7.717
610.52	1107.7	9.19
1494	1856.2	4.215
1954.9	715.47	7.863
590.51	1087	12.333
1499.7	1853.8	3.724
593.93	1055.8	12.489
1497.7	1872.1	4.804
589.22	1080.6	11.227
1566.9	1918.6	24.729
565.32	1131.6	12.514
1530.4	1926.2	15.869
415.1	1598	5.008
416.25	1614.6	4.759
415.32	1606.3	4.771
398.69	1619.3	6.776
585.72	1077.2	11.058
571.64	1061.4	10.592
638.36	1083.6	10.479
420.3	1601.2	8.467
433.79	1623.2	13.427
1511.8	1966.1	13.225
1548.7	1958.7	20.077
1610.6	1925.5	20.561
1533.4	1898.1	16.48
1616	1997.5	24.289
1542.5	1913.1	17.104
1548.9	1950	18.366
1569.8	1938.9	18.405
1526.6	1955.7	17.167
1565.5	1949.1	16.779
344.14	720.41	19.79
293.64	748.31	22.381
1540.9	1961.3	21.216
1594.8	1927.5	18.746
1557.5	1900.1	18.868
1527.3	1987	15.18
1540.6	1946.7	12.246
1595.7	1919.1	22.667
1527.2	1924.3	15.43
1576.8	1936.4	15.847
1527.6	1951.6	19.509
1561.5	1913.6	17.994
1602.2	1936.9	13.068
418.58	1633.1	14.322
