x	y	sd
1310	1463.3	9.618
62.443	1772.2	13.741
1313.6	1459.6	10.637
1327.2	1477.9	11.735
1308.6	1459.8	10.373
1339.2	1443.7	10.773
168.44	1998.6	24.606
1325.2	1441.1	11.113
1299.3	1457.5	11.078
1316.1	1436.6	9.643
470.74	568.91	7.231
1329.4	1449.9	12.025
466.79	556.46	3.714
1310.8	1416.7	10.835
1317.4	1445.1	9.815
1320.4	1435.8	10.367
1487.4	581.04	7.121
1491.5	593.35	3.865
1488.3	595.1	3.749
1482.3	589.39	3.721
1473.2	593.91	3.571
1479.2	589.75	3.888
1440.7	28.848	10.198
626.34	408.89	6.374
612.73	476.75	3.401
605.86	477.36	3.403
615.18	508.22	3.632
604.07	510.15	3.695
598.74	498.87	3.632
607.33	508.47	3.327
601.7	518.23	3.675
609.43	506.06	3.425
600.03	509.93	3.639
609.53	505.86	3.645
610.5	505.85	3.463
611.94	554.56	19.002
1199.2	598.65	22.569
1272.5	488.65	14.676
1474.3	587.73	6.402
1488.9	589.7	3.799
1520.6	519.5	3.877
1565.3	486.65	3.632
1043.1	1296.9	6.692
1555.5	474.92	3.848
1555.3	481.45	3.827
1559.7	493.82	3.771
368.33	5.043	13.369
1550.3	495.14	3.686
338.1	20.291	6.541
1566.9	462.37	4.286
959.47	342.1	7.59
1671.5	303.76	5.248
322.01	727.28	10.653
1675.1	308.97	5.248
317.79	710.62	10.881
1690.1	298.81	5.011
1682.4	296.72	4.871
1685.5	298.75	5.094
1666.9	301.18	4.924
1672.8	297	4.992
1573	1438.7	4.371
1678.1	309.13	4.889
1088.3	1786.8	20.786
1686.4	292.07	4.476
1663.7	297.48	4.958
1930.2	1783.3	7.026
618.49	164.52	10.257
1667.6	297.33	5.132
623.28	173.6	13.645
1665.2	299.21	4.716
613.96	200.03	12.104
1676.5	303.06	5.096
1670.2	291.94	4.971
1679.3	299.96	7.367
717.35	708.05	15.991
707.31	704.75	8.57
1678.6	265.69	19.382
679.27	704.73	9.759
1663.3	318.25	10.212
403.65	92.52	17.713
1350	1294.7	9.122
388.31	100.26	7.933
378.64	106.61	7.902
357.6	93.227	11.279
1690.8	1749.8	4.313
1357.5	621.49	12.209
56.547	1882.5	18.634
169.12	520.26	22.693
228.3	559.43	23.473
1711.7	1751.7	9.934
1179.4	1068.3	9.043
1697.5	1757.2	3.776
1693.3	1751.5	4.047
1690	1765.3	3.924
451.83	1165.6	13.103
471.42	1170.2	7.586
471.06	1163.3	8.881
477.3	1156.5	7.239
488.29	1169.7	10.941
978.21	804.54	10.306
1688.5	1770.2	3.914
1692.9	1761.2	4.034
1691.3	1768.9	4.059
1689.4	1765.7	3.728
1691.4	1770.7	3.621
155.71	846.1	11.624
1694.8	1758.5	5.662
1739.3	78.633	14.063
1756.1	419.03	4.196
1751.8	431.53	3.907
