x	y	sd
133.68	1006.2	4.786
139.67	1015	4.919
147.11	1013.6	4.978
1599.3	1183	25.362
150.7	997.04	5.241
565.32	1412.2	10.663
568.81	1411.8	9.315
542.05	1426	14.55
1491.3	881.9	17.709
1480.7	917.46	22.564
1447.7	862.46	19.783
1496.2	892.09	15.457
1476.4	835.6	17.222
1447.5	910.94	21.712
1424.7	898.08	18.119
1505.6	876.06	18.324
1491.8	804.08	19.201
1458.3	856.3	20.301
1450.7	894.97	14.138
1455.4	906.94	15.851
1515.7	900.81	17.148
1480	884.1	14.407
1404.9	1894.4	9.57
1902.4	1145.7	25.934
1424.4	1890.9	9.699
1411.6	1896.4	10.105
1392	1848.2	10.813
1393.1	1878.8	8.657
1368.3	1865.2	12.043
1410.1	1859.1	10.297
1400.1	1856.3	9.753
1412.1	1872.6	10.565
1890.4	1186.8	27.135
412.94	1298.8	18.059
1969.9	1266.5	20.932
388.02	1324.3	12.334
345.02	1296.4	22.315
1416	1854.1	12.966
1411.6	1861.7	11.345
604.47	877.28	22.598
473.2	1730	26.862
604.21	1615.2	31.862
747.1	1387.9	21.523
1999.1	1264.4	20.031
1876.8	1141.4	12.756
597.93	271.06	20.32
1866.6	1179.8	18.333
1005.1	1982.6	9.606
994.64	1989.5	9.59
977.35	1944.6	10.021
153.65	1701.6	17.282
196.95	1938.5	6.835
192.15	1984.3	15.848
1950.8	1298.9	27.272
1977.7	1408.8	26.392
1979.6	1293	24.086
495.04	425.51	22.524
523.88	474.26	12.219
1946.7	1258.2	24.381
1955.4	1227	24.882
1952.1	1219.1	26.719
1992.3	1277.1	25.43
1336.3	1460.3	6.64
1843.6	219.25	18.501
1367.1	1430.8	16.718
1970	457.35	19.601
1817.4	432.85	18.148
391.75	550.72	11.783
200.14	1961.3	9.468
229.78	1548.9	14.424
1879.7	1240	22.991
207.53	1487.7	11.579
1946.7	1290.2	27.604
248.53	1524.3	12.248
1646.8	942.59	30.882
226.26	1508.3	17.847
1489.8	868.72	15.124
1498.9	922.56	18.439
1507.9	921.14	18.159
1443.4	872.59	15.59
1486.2	845.16	16.39
1505.9	885.71	18.078
1504.4	851.22	15.713
512.48	500.1	24.747
470.33	777.11	7.392
438.73	859.07	5.745
442.5	878.06	5.616
453.88	841.5	6
1945.6	1231.3	23.197
438.37	844.33	5.831
410.82	841.62	13.627
1228	1984.5	13.909
1986.3	1192	23.29
1972.6	1249.1	20.707
1935.8	1183.9	24.853
1957.4	1223.1	24.458
1929.4	1208.2	22.453
1969.9	1270.9	24.394
1957.6	1243.7	30.568
1948.2	1426.1	26.19
1939.5	1507.7	9.971
1936	1503.3	9.963
1935	1514.9	11.38
1934.7	1544.6	10.441
1115.1	284.41	25.921
1945.4	1534.5	11.054
1194.3	290.09	19.125
1951.8	1510.4	8.92
1211.4	266.28	21.961
1974.6	1399.9	18.5
1181.3	296.85	26.093
1982.4	1395	24.045
1145.7	437.35	30.041
373.26	774.94	4.81
415.97	791.81	3.796
420.77	783.9	7.648
1942.6	1273.9	19.091
1966.6	1251.9	13.206
86.287	1578.5	5.039
782.15	465.6	8.055
101.93	1555.9	7.263
1996.1	1238.7	13.081
123.08	1579.3	8.188
111.64	1566.9	4.869
1967.2	1251.2	28.756
99.372	1575.1	5.174
104.38	1571.1	4.81
112.61	1582.3	4.907
98.56	1572	8.453
1952.8	1377.3	26.273
1911.5	1245.1	26.228
1993.4	1233.4	22.109
109.77	139.23	16.237
888	1211.3	9.7
1990.3	1249.5	13.345
1841.1	1658.7	9.37
1845.2	1658.6	8.106
1854.1	1668.2	8.223
1838.5	1654.6	8.148
1836.6	1644.2	7.85
1853.1	1656.5	7.677
1836.6	1648.8	8.113
1849.4	1641	7.432
1848	1634	7.215
1849.8	1650.7	7.684
1065.4	469.37	7.06
1835.3	1673.1	7.376
1062.4	473.35	7.359
1866	1657.8	11.661
1853.8	1656.3	7.795
1849.2	1648.1	8.523
1835.9	1657.8	7.236
1845.1	1638.5	8.078
101.95	1568	4.75
99.518	1570.4	5.157
103.9	1557.9	6.495
40.084	6.41	14.025
451.6	1141.5	12.805
436.58	1139.5	13.202
465.3	1110.8	14.182
457.22	1097	12.485
453.31	1112.3	12.024
449.14	1141.1	19.108
809.1	620.97	15.83
853.84	578.58	14.431
911.95	590.77	21.16
1980.6	1780.9	5.676
903.57	520.06	17.577
1978.4	1784.8	12.319
260.93	683.31	22.412
472.86	638.06	30.374
129.54	648.82	28.799
186.54	683.48	26.672
1425.6	1878.2	14.771
253.73	682.18	25.88
733.63	1698.5	22.833
672.16	1737.2	29.384
727.63	617.5	24.099
154.56	678.1	22.638
868.68	567.08	14.687
687.9	1702.8	19.158
441.78	1345.2	11.836
458.58	1300.1	12.253
420.44	1295.1	11.173
455.95	1328.6	13.069
1573.7	703.65	11.538
412.58	1302.5	14.255
1547.7	733.17	12.082
407.27	1308.2	10.812
1595.1	738.3	10.598
437.62	1304.6	12.058
1608.4	729.94	13.114
409.22	1329.1	12.187
1572.2	727.72	15.586
60.458	1736.3	7.647
68.848	1733.6	5.911
1779.5	1970.9	18.12
1766	1969.3	17.01
731.76	1635.5	8.924
736.06	1646.9	10.109
743.98	1630.7	9.73
725.52	1640.4	9.779
58.948	1349.7	7.091
713.33	1625.1	11.202
20.281	1360.6	5.055
18.762	1353.1	5.248
4.123	1358.5	5.679
802.01	471.58	8.938
781.64	491.22	7.77
783.21	467.81	7.721
1498.4	1288.1	12.778
1496.1	1279.3	8.037
1488.5	1260.6	8.332
563.91	1760.8	19.003
687.34	1754.3	19.989
1663.5	1650.7	24.38
718.41	1790.7	17.632
706.16	1802.4	25.125
1769.5	25.322	20.071
582.98	1162.5	16.224
587.57	1241.2	4.89
580.56	1303.5	7.24
1787.5	65.951	18.012
563.99	1417.2	9.41
536.87	1413.2	14.574
1855.1	32.064	22.288
436.98	449.99	18.357
643.66	1730.8	9.177
839.7	1844.3	6.396
933.61	1906.9	6.752
947.82	1873.3	10.639
1491	912.72	16.26
1504	917.63	15.462
1343.6	1462.6	4.799
1496.3	862.5	18.673
1440.5	882.12	13.401
1503.1	836.08	17.777
1497.8	878.1	21.154
1977.2	1777	4.646
1980.5	1777.3	4.382
1988.6	1776.6	4.421
1181.1	1675.3	19.583
1986.2	1771.7	4.659
1113.1	1684.2	20.998
1988.3	1773.1	4.712
1083.8	1587.8	20.13
1978	1779.6	4.877
1074.4	1688.6	23.006
875.17	1200.3	5.259
875.07	1210.2	4.52
871.16	1210.4	4.322
869.15	1212.6	5.822
1162.3	756.88	13.651
963.48	794.77	15.825
1077.1	1300.5	18.886
1023.7	1266.3	11.194
1568.7	732.28	16.314
1048.4	1274.8	14.467
1581.6	721.92	11.813
1590.3	777.05	12.719
1102.2	1161.9	18.577
1563.3	765.6	17.352
1063.8	1260.2	12.316
1571.9	721.6	14.452
1048.6	1232.2	12.857
1556.8	722.19	11.554
1061.4	1271.8	12.872
1574.3	722.32	13.348
1585.8	734.92	13.422
1592.3	717.72	13.64
462.4	189.19	26.891
681.01	1677.9	19.04
700.31	1003.2	14.335
704.78	927.79	14.867
722.33	914.85	12.57
667.18	1743.7	18.865
690.25	714.34	21.324
580.19	173.57	17.939
1022.7	1247.1	15.763
1054.5	1222.3	11.804
1063.7	1294.7	11.753
1090.7	1262.4	12.987
1031.8	1254.2	11.917
49.892	1406.8	14.122
1020.3	1310.1	16.017
1032.5	1269.1	16.127
1009.9	1255.8	20.686
617.66	1168.5	5.205
594.74	1192.9	5.658
617.64	1175.2	7.015
30.186	10.49	19.303
1916.1	1565.1	11.384
1911.7	1571.7	12.963
63.795	11.902	14.852
1043.1	1251.9	18.414
992.25	1236.1	15.207
1013.9	1262.6	13.897
1073.3	1283.5	11.834
1080.9	1257.5	14.642
1185.5	1143.5	17.494
1136.3	1151.1	17.241
1047.7	1242.2	11.164
1820.8	1156.6	29.018
1461.7	835.35	15.577
1504.1	489.55	13.307
1924.7	1527.4	16.583
797.14	476.47	7.048
1872.1	1600.8	10.812
421.62	1309.7	13.384
1032.8	1252.3	9.944
1994.7	1268.9	18.81
1058.3	1279.8	8.077
1050.6	1282.6	14.316
1038.9	1259.6	20.636
1084.8	1274.8	24.252
1997.3	1318.7	16.053
392.4	1130.4	6.851
375.59	1147.3	5.663
949.27	1910	11.407
392.88	1142.2	6.143
375.06	1133.3	6.167
1994.1	1297	13.932
394.59	1147.8	5.9
1999.5	1304.9	22.307
379.64	1126.1	5.959
399.4	1136.9	5.601
1949.9	1206.6	19.415
392.7	1146.5	5.462
390.74	1139	5.882
1987	1308.5	15.645
390.45	1139.7	5.384
392.9	1139.7	5.799
921.71	1982.2	17
413.93	1142.2	5.712
383.72	1170.5	5.723
373.09	1178.3	6.28
394.73	1161.5	6.422
168.51	1526.7	17.154
1972.4	1381	16.713
232.53	1553.4	13.425
228.41	1542.3	21.566
469.15	279.73	4.715
138.46	1494.2	11.824
464.68	274.62	3.886
92.655	1485.8	7.294
480.33	272.55	6.708
52.705	1463.2	6.938
63.894	1466	6.398
2.279	1428.1	7.534
717.52	1653.4	18.926
23.454	1441.6	8.106
1986.4	1740.2	4.438
10.734	1418.8	7.776
1984.5	1717.5	5.155
18.051	1434.9	7.538
1063.9	448.97	8.467
1987.5	1736.8	4.679
15.044	1410.3	8.536
1064.4	475.78	5.868
1980.8	1744.3	5.053
12.581	1415.2	8.06
1064	454.87	6.666
1986.8	1736	4.85
26.556	1396.2	8.877
1011.9	469.62	6.638
1976.9	1758.1	4.855
65.803	1355.8	12.279
1025.8	478.88	6.086
1978.3	1765.1	4.722
1012.4	509.2	7.39
1971.7	1714.4	6.928
572.05	1057.9	9.735
566.59	1055	11.775
552.26	1061.1	11.592
473.65	1128.2	11.612
459.2	1079.7	13.316
479.14	1132.3	11.862
764.7	525.04	30.798
749.36	533.37	22.851
745.89	546.34	18.717
745.1	548.63	19.867
282.44	1573.9	14.586
756.51	638.01	18.093
1991.6	1292.4	10.588
246.98	1511.8	12.853
744.45	624.96	20.429
252.51	1516	13.616
211.16	1552.5	16.451
152.06	1562.2	8.927
730.05	584.83	20.013
180.71	1560.2	7.542
735.71	560.18	23.42
1972	1260.6	15.8
190.56	1555	7.397
761.27	530.38	16.436
173.22	1541.9	7.855
717.66	582.27	29.04
177.98	1553.7	7.372
